filename,cluster,u1,u2,pred_label,pconf
0306fa89.jpg,4,6.830264,9.40983,Barbari,0.99392396
0345e3ca.jpg,2,10.620441,7.8611894,Roman,0.97622377
0551a473.jpg,0,9.907362,1.9384437,Sawakni,0.9990015
06e1783d.jpg,3,7.6033053,4.6241693,Harri,
08b9981b.jpg,4,6.640676,9.404335,Barbari,0.96792144
0cfc6a1e.jpg,5,7.385984,1.9104689,Goat,
100bd43a.jpg,2,10.343347,8.053509,Roman,
1081d46a.jpg,6,6.55766,8.548807,Naeimi,
10e27bf7.jpg,2,9.840586,8.638819,Roman,0.99096525
11bc3308.jpg,0,10.214822,2.1272454,Sawakni,0.9983619
11dbafc4.jpg,3,8.024491,4.054777,Harri,
1432d91c.jpg,4,7.3217397,8.948994,Barbari,
1558450b.jpg,1,1.094853,-4.263262,Najdi,0.9750055
163f0957.jpg,3,7.974173,4.186762,Harri,
167094c8.jpg,4,6.772123,9.125956,Barbari,0.9973453
16c511c0.jpg,1,1.5606958,-4.090429,Najdi,0.9993833
16d11d2d.jpg,2,9.762702,8.593205,Roman,0.9793064
175fdb7a.jpg,4,6.6050076,9.422305,Barbari,0.98537266
183485e0.jpg,5,7.629603,2.527986,Goat,0.9955208
18a45994.jpg,3,8.291389,4.556919,Harri,
21f0f191.jpg,2,10.758734,7.853877,Roman,0.9955047
226dc6ee.jpg,6,6.3994045,8.517427,Naeimi,
2437c1aa.jpg,2,9.951337,8.752766,Roman,0.9857127
247fb4df.jpg,1,1.1085517,-3.9425657,Najdi,
24f34b9e.jpg,0,9.669837,2.306879,Sawakni,
2735eb07.jpg,0,9.698732,2.2383049,Sawakni,
277c7676.jpg,0,10.329932,2.2598672,Sawakni,0.99544305
27ca08cb.jpg,4,6.896761,9.5508175,Barbari,0.9914671
2b5fa46a.jpg,0,8.651156,3.963417,Sawakni,
2ebc35e2.jpg,3,8.235661,5.1033597,Harri,
30503f9d.jpg,3,8.266839,5.292993,Harri,
33b770d0.jpg,4,6.8846326,9.254055,Barbari,0.99578965
33db0590.jpg,2,10.484284,7.9379354,Roman,0.9950625
34ad5737.jpg,2,9.885162,7.79494,Roman,
34e2f10c.jpg,1,1.6433669,-3.777963,Najdi,0.99163836
385082b9.jpg,3,7.8178377,3.943553,Harri,
3b138401.jpg,5,7.247169,1.7351995,Goat,
3be8b97b.jpg,3,8.526923,5.0648327,Harri,
3c5436f0.jpg,6,6.753774,7.9749813,Naeimi,
3f4cd7c8.jpg,0,9.993557,1.9515898,Sawakni,0.9971218
417f9c7d.jpg,6,6.4379163,8.113964,Naeimi,0.96319515
449c69af.jpg,3,8.162219,5.0092425,Harri,0.9895204
4527e608.jpg,1,1.5200623,-4.2225957,Najdi,0.9986019
47385f1a.jpg,3,7.7458944,3.943717,Harri,
49c7de85.jpg,5,6.9292326,1.7885444,Goat,0.99132615
4a63e293.jpg,1,1.3767337,-4.2971797,Najdi,0.99800366
4c9138a1.jpg,0,11.056329,3.2190025,Sawakni,
508df02b.jpg,5,7.408175,1.9250506,Goat,
50ce0b34.jpg,0,10.246149,2.3675847,Sawakni,0.9986981
5334f219.jpg,5,6.7445836,2.0180185,Goat,0.989847
5550a0fd.jpg,0,9.984652,2.2362494,Sawakni,0.9983206
56728cf9.jpg,6,6.5064225,7.8973384,Naeimi,
596f77ab.jpg,6,6.7645154,8.082473,Naeimi,
5a59b831.jpg,2,10.597701,8.164086,Roman,0.9932144
5b1a69df.jpg,0,8.875561,3.7346854,Sawakni,
5b376777.jpg,5,7.7366505,3.00462,Goat,0.9604038
5d3b3719.jpg,0,11.134852,3.0441103,Sawakni,
5e5865b3.jpg,2,10.394857,8.371555,Roman,0.9969684
6059f28e.jpg,0,10.334835,1.9718527,Sawakni,0.9972496
63be3b9a.jpg,2,9.73116,8.19909,Roman,
6d66297e.jpg,0,11.198624,2.9708793,Sawakni,
7049acfe.jpg,3,7.9776664,5.358421,Harri,
72c3d72f.jpg,1,1.6967945,-4.0779405,Najdi,0.9981245
74b88387.jpg,5,6.996429,2.5930724,Goat,0.985809
7502f7f0.jpg,6,6.2509837,7.8387823,Naeimi,
76ad059a.jpg,2,10.847094,8.117186,Roman,
7bd8fdcb.jpg,5,6.7188897,2.1139195,Goat,0.9758911
7d1844c5.jpg,0,10.258226,1.9048424,Sawakni,0.99669755
7dda15b0.jpg,6,6.3477044,8.219676,Naeimi,0.9631094
80e5adf2.jpg,2,10.171626,8.537787,Roman,0.9776839
85fe3a81.jpg,0,10.734376,3.047035,Sawakni,
895567eb.jpg,5,7.5528126,3.073495,Goat,0.97511214
8bba2746.jpg,2,9.91502,8.650533,Roman,0.9706299
8dbe2536.jpg,2,10.191946,8.582333,Roman,0.9704752
8e619920.jpg,6,7.095463,8.357166,Naeimi,
914de5e2.jpg,6,6.366416,8.453336,Naeimi,
915322c7.jpg,1,1.4086012,-3.9545312,Najdi,0.9947941
933339b9.jpg,3,8.050146,5.1807647,Harri,
93982d6d.jpg,3,7.820198,4.9806137,Harri,0.9869587
97e8d52b.jpg,5,7.5168633,2.4690223,Goat,0.9974658
9bcc92c8.jpg,5,7.0370517,2.2614307,Goat,0.9987997
9d7898ec.jpg,1,1.4961126,-4.4007225,Najdi,0.9632738
9f66ec17.jpg,5,6.552339,1.8154534,Goat,0.99218667
a03784d5.jpg,3,8.046916,4.851533,Harri,
a1c8507a.jpg,2,9.855588,8.419743,Roman,0.9913052
a1d8a059.jpg,1,1.512777,-4.3217225,Najdi,0.9945534
a4263cc6.jpg,6,6.600676,8.143487,Naeimi,0.970706
a6518778.jpg,0,11.023202,3.342579,Sawakni,
a9ed036d.jpg,6,7.0443497,8.4779,Naeimi,
a9f4d1c0.jpg,5,6.4148417,2.2955894,Goat,
ab9babec.jpg,0,10.834909,3.415061,Sawakni,
ac05d489.jpg,5,6.5799026,1.6469423,Goat,0.97948724
ac78a48d.jpg,5,7.5353494,2.4518466,Goat,
acc9295b.jpg,0,10.325759,2.3646872,Sawakni,0.97178566
adb8c21c.jpg,2,9.956513,8.321428,Roman,0.9888358
afe59632.jpg,1,1.8211021,-4.0632896,Najdi,0.99245536
b2be18b6.jpg,0,10.008058,1.88518,Sawakni,0.9986436
b2f1cf49.jpg,5,7.7890954,2.8692596,Goat,0.9663806
b4751008.jpg,5,6.363448,1.815049,Goat,0.9916158
b4bedb08.jpg,5,7.24937,1.7413626,Goat,
b67d2ccb.jpg,1,1.2424886,-4.323699,Najdi,0.97412026
b69c3ee4.jpg,1,1.0901911,-3.7834337,Najdi,
b9614fa8.jpg,6,6.9598174,8.17447,Naeimi,
bb126871.jpg,3,7.9489436,5.3509493,Harri,
bd1bd591.jpg,5,8.162339,2.8922584,Goat,
bd22c104.jpg,1,1.7319602,-3.7691245,Najdi,0.968726
bd342842.jpg,3,7.80953,5.1989193,Harri,0.98481834
bed57933.jpg,3,7.684215,5.1486053,Harri,
c0503460.jpg,2,10.663931,8.142951,Roman,0.98668987
c2fdf153.jpg,0,11.097659,3.1800272,Sawakni,
c62a73db.jpg,6,6.8176866,7.901445,Naeimi,
c63d696e.jpg,1,1.4930022,-4.361374,Najdi,0.9942249
cb231bd3.jpg,0,9.964597,2.5349321,Sawakni,
cb41f4d3.jpg,2,10.0630455,8.078561,Roman,0.9982667
ccb9c145.jpg,1,1.1315532,-3.7118928,Najdi,
cd147b39.jpg,2,10.966066,7.984341,Roman,0.99654305
ce299573.jpg,6,10.561457,3.7465224,Naeimi,
cf87528a.jpg,6,6.4216323,8.172135,Naeimi,0.9798045
cfb691dc.jpg,5,6.4815392,2.171232,Goat,0.9891837
d214d98e.jpg,3,7.74618,5.3151793,Harri,0.9767848
d5a8662e.jpg,1,1.2383709,-3.7381024,Najdi,0.98101264
d72ea4f1.jpg,3,7.862642,5.0320606,Harri,
d95f234b.jpg,4,6.9170303,9.208147,Barbari,0.9823438
da484961.jpg,2,9.528374,8.4475355,Roman,
dad481e9.jpg,4,6.870248,9.680858,Barbari,0.9851066
dcd0ef6f.jpg,0,10.195712,1.8446758,Sawakni,0.9957367
de3bc302.jpg,1,1.2360126,-4.067407,Najdi,0.9986218
de561566.jpg,5,7.5502777,2.627656,Goat,0.9967166
deecae2a.jpg,5,7.1000123,1.9203075,Goat,0.988879
e26ccad9.jpg,2,10.460747,8.326302,Roman,
e47217aa.jpg,6,6.456089,8.634464,Naeimi,
e8c1e128.jpg,0,10.815638,3.320307,Sawakni,
e8ff677c.jpg,2,10.547846,7.671593,Roman,
ea04b23e.jpg,0,11.151613,3.6126156,Sawakni,
eb8268e5.jpg,5,7.3924904,3.0217056,Goat,
ed9f6250.jpg,6,6.8406944,8.344788,Naeimi,0.9840393
