train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted
0.7975857592647588,0.42563291139240506,0.21775740147568284,0.8301886792452831,0.8247369162003307,0.8304682815267261
0.21708670447144326,0.7515822784810127,0.0987299032160081,0.89937106918239,0.8910914194375031,0.8993125589548586
0.15902097601903295,0.8243670886075949,0.08938102256070124,0.9245283018867925,0.9186587407548689,0.9249714737283068
0.1317710162592091,0.8734177215189873,0.11703642587963259,0.9308176100628931,0.9280478711593263,0.9298358659813769
0.08401138465724446,0.8939873417721519,0.11580789388985976,0.9559748427672956,0.9557504924644883,0.9553644034718703
0.0725594009776315,0.9287974683544303,0.10336422556472372,0.9433962264150944,0.933489239851785,0.9431719171373524
0.04326847865228691,0.9604430379746836,0.0923250776897703,0.9622641509433962,0.9600661028971216,0.9615353620239006
0.029246956658391377,0.9556962025316456,0.10915328599387238,0.9559748427672956,0.9588311000075708,0.9551049384567698
0.047020042426295004,0.9604430379746836,0.11318514397371474,0.949685534591195,0.9427603768780239,0.9490633303063936
0.03689086609403626,0.9604430379746836,0.14060816561409412,0.9308176100628931,0.9256328533168958,0.9304520943917568
0.04662811313746024,0.9651898734177216,0.1361054099489838,0.9559748427672956,0.9541242009222304,0.9547724234126315
0.027449688135260934,0.9683544303797469,0.1447169623183278,0.9622641509433962,0.9646331259776638,0.9618692073742018
0.012211855934725187,0.9699367088607594,0.149528174326138,0.9433962264150944,0.9457318789584799,0.9423970629240634
0.02751127095406197,0.9731012658227848,0.13694398030388016,0.9685534591194969,0.968804939053956,0.9680732803633963
0.006480607602981081,0.9857594936708861,0.1504070862603742,0.9622641509433962,0.9629801570978042,0.9612549123092965
0.018781491513058097,0.9778481012658228,0.13643343186698392,0.9685534591194969,0.968804939053956,0.9680732803633963
0.009237443098600195,0.9746835443037974,0.14083979002485486,0.9622641509433962,0.9646331259776638,0.9618692073742018
0.0063416075048423,0.9841772151898734,0.14050470152599032,0.949685534591195,0.9527747462621413,0.9481620549878043
0.02171465003902908,0.9794303797468354,0.13929227255749135,0.9559748427672956,0.9567957706010803,0.9542882489952118
